10 abr 2020 11:56:52,032 [main] INFO  LogAcide - Using your system's LookAndFeel
10 abr 2020 11:56:53,574 [AWT-EventQueue-0] INFO  LogAcide - Initiating application...
10 abr 2020 11:56:53,574 [AWT-EventQueue-0] INFO  LogAcide - Loading the ACIDE - A Configurable IDE - Workbench Configuration
10 abr 2020 11:56:53,785 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Lexicon Assigner Configuration
10 abr 2020 11:56:53,785 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Lexicon Assigner Configuration
10 abr 2020 11:56:53,928 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Tool Bar Configuration
10 abr 2020 11:56:53,937 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Menu Configuration
10 abr 2020 11:56:53,938 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Language Configuration
10 abr 2020 11:56:53,938 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Explorer Configuration
10 abr 2020 11:56:53,956 [AWT-EventQueue-0] INFO  LogAcide - Initializing ACIDE - A Configurable IDE - Main Window...
10 abr 2020 11:56:53,970 [AWT-EventQueue-0] INFO  LogAcide - Initializing ACIDE - A Configurable IDE - Menu...
10 abr 2020 11:56:54,006 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Menu Configuration loaded: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,083 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Menu Configuration loaded: ./configuration/menu/defaultAllOn.xml
10 abr 2020 11:56:54,262 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,263 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,265 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,267 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,269 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,270 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,271 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,272 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,274 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,275 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,276 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,277 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,278 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,280 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:56:54,281 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Menu created
10 abr 2020 11:56:54,297 [AWT-EventQueue-0] INFO  LogAcide - Menu Listeners established
10 abr 2020 11:56:54,302 [AWT-EventQueue-0] INFO  LogAcide - Generating the tree of the working directory
10 abr 2020 11:56:54,332 [AWT-EventQueue-0] INFO  LogAcide - Tree of the working directory generated
10 abr 2020 11:56:54,340 [AWT-EventQueue-0] INFO  LogAcide - Generating the tree of the database directory
10 abr 2020 11:56:54,352 [AWT-EventQueue-0] INFO  LogAcide - Tree of the working directory generated
10 abr 2020 11:56:54,379 [AWT-EventQueue-0] INFO  LogAcide - Creating exit of text... 
10 abr 2020 11:56:54,392 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
10 abr 2020 11:56:54,392 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
10 abr 2020 11:56:54,406 [AWT-EventQueue-0] INFO  LogAcide - Exit of created text 
10 abr 2020 11:56:54,538 [AWT-EventQueue-0] INFO  LogAcide - Initializing icons...
10 abr 2020 11:56:54,546 [AWT-EventQueue-0] INFO  LogAcide - Icons created
10 abr 2020 11:56:54,547 [AWT-EventQueue-0] INFO  LogAcide - Icons created
10 abr 2020 11:56:54,547 [AWT-EventQueue-0] INFO  LogAcide - Initializing the ACIDE - A Configurable IDE - Tool Bar...
10 abr 2020 11:56:54,553 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Tool Bar created
10 abr 2020 11:56:54,553 [AWT-EventQueue-0] INFO  LogAcide - Initializing the ACIDE - A Configurable IDE - Tool Bar...
10 abr 2020 11:56:54,555 [AWT-EventQueue-0] INFO  LogAcide - Icons created
10 abr 2020 11:56:54,556 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Tool Bar created
10 abr 2020 11:56:54,566 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Main Window created
10 abr 2020 11:56:54,567 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Console Configuration
10 abr 2020 11:56:54,573 [AWT-EventQueue-0] ERROR LogAcide - 
10 abr 2020 11:56:54,599 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Recent Files Configuration
10 abr 2020 11:56:54,600 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Recent Projects Configuration
10 abr 2020 11:56:54,600 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - File Editor Configuration
10 abr 2020 11:56:54,660 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
10 abr 2020 11:56:54,662 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
10 abr 2020 11:56:54,662 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
10 abr 2020 11:56:54,699 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
10 abr 2020 11:56:54,785 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
10 abr 2020 11:56:54,785 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
10 abr 2020 11:56:54,785 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
10 abr 2020 11:56:54,791 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
10 abr 2020 11:56:54,799 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Main Window Configuration
10 abr 2020 11:59:45,216 [AWT-EventQueue-0] INFO  LogAcide - Initializing ACIDE - A Configurable IDE - Menu...
10 abr 2020 11:59:45,250 [AWT-EventQueue-0] INFO  LogAcide - Menu Listeners established
10 abr 2020 11:59:45,323 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Menu Configuration loaded: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:59:45,324 [AWT-EventQueue-0] INFO  LogAcide - File save correctly: ./configuration/menu/lastModified.menuConfig
10 abr 2020 11:59:45,325 [AWT-EventQueue-0] INFO  LogAcide - ACIDE - A Configurable IDE - Menu created
10 abr 2020 11:59:45,327 [AWT-EventQueue-0] INFO  LogAcide - Initializing icons...
10 abr 2020 11:59:45,328 [AWT-EventQueue-0] INFO  LogAcide - Icons created
10 abr 2020 11:59:45,329 [AWT-EventQueue-0] INFO  LogAcide - Icons created
